techMdExtractorName,extractorProperty,classificationProperty,normalizer
AIFF-hul,AIFFMetadata.AESAudioMetadata.AnalogDigitalFlag,AES.analogDigitalFlag,
AIFF-hul,AIFFMetadata.AESAudioMetadata.AudioDataEncoding,AES.encoding,
AIFF-hul,AIFFMetadata.AESAudioMetadata.ByteOrder,AES.byteOrder,
AIFF-hul,AIFFMetadata.AESAudioMetadata.FirstSampleOffset,AES.firstSampleOffset,
AIFF-hul,AIFFMetadata.AESAudioMetadata.Format,AES.format,
AIFF-hul,AIFFMetadata.AESAudioMetadata.Format.SpecificationVersion,AES.formatVersion,
AIFF-hul,AIFFMetadata.AESAudioMetadata.PrimaryIdentifier,AES.primaryIdentifier,
AIFF-hul,AIFFMetadata.AESAudioMetadata.PrimaryIdentifier.Identifier Type,AES.identifierType,
AIFF-hul,AIFFMetadata.AESAudioMetadata.SampleFrames,AES.sampleFrames,
AIFF-hul,AIFFMetadata.AESAudioMetadata.SchemaVersion,AES.schemaVersion,
AIFF-hul,AIFFMetadata.AESAudioMetadata.Use.OtherType,AES.useOtherType,
AIFF-hul,AIFFMetadata.AESAudioMetadata.Use.UseType,AES.useType,
AIFF-hul,AIFFMetadata.Annotations,audio.annotations,
AIFF-hul,AIFFMetadata.Author,audio.author,
AIFF-hul,AIFFMetadata.CompressionName,audio.compressionName,
AIFF-hul,AIFFMetadata.CompressionType,audio.compressionType,
AIFF-hul,AIFFMetadata.Copyright,audio.copyright,
AIFF-hul,AIFFMetadata.FormatVersion,audio.formatVersion,
AIFF-hul,AIFFMetadata.Instrument.Basenote,audio.instrumentBaseNote,
AIFF-hul,AIFFMetadata.Instrument.Detune,audio.instrumentDetune,
AIFF-hul,AIFFMetadata.Instrument.Gain,audio.instrumentGain,
AIFF-hul,AIFFMetadata.Instrument.HighNote,audio.instrumentHighNote,
AIFF-hul,AIFFMetadata.Instrument.Highvelocity,audio.instrumentHighVelocity,
AIFF-hul,AIFFMetadata.Instrument.LowNote,audio.instrumentLowNote,
AIFF-hul,AIFFMetadata.Instrument.Lowvelocity,audio.instrumentLowVelocity,
AIFF-hul,AIFFMetadata.Instrument.ReleaseLoop.BeginLoop,audio.releaseLoopBegin,
AIFF-hul,AIFFMetadata.Instrument.ReleaseLoop.EndLoop,audio.releaseLoopEnd,
AIFF-hul,AIFFMetadata.Instrument.ReleaseLoop.PlayMode,audio.releaseLoopPlayMode,
AIFF-hul,AIFFMetadata.Instrument.SustainLoop.BeginLoop,audio.sustainLoopBegin,
AIFF-hul,AIFFMetadata.Instrument.SustainLoop.EndLoop,audio.sustainLoopEnd,
AIFF-hul,AIFFMetadata.Instrument.SustainLoop.PlayMode,audio.sustainLoopPlayMode,
AIFF-hul,AIFFMetadata.Name,audio.name,
AIFF-hul,AIFFMetadata.Profiles,audio.profiles,
AIFF-hul,AIFFMetadata.SampleFrames,audio.sampleFrame,
AIFF-hul,AIFFMetadata.SoundData.BlockSize,audio.blockSize,
AIFF-hul,AIFFMetadata.SoundData.DataLength,audio.dataLength,
AIFF-hul,AIFFMetadata.SoundData.Offset,audio.offset,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.AnalogDigitalFlag,AES.analogDigitalFlag,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.AudioDataEncoding,AES.encoding,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.ByteOrder,AES.byteOrder,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.FirstSampleOffset,AES.firstSampleOffset,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.Format,AES.format,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.Format.SpecificationVersion,AES.formatVersion,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.PrimaryIdentifier,AES.primaryIdentifier,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.PrimaryIdentifier.Identifier Type,AES.identifierType,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.SampleFrames,AES.sampleFrames,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.SchemaVersion,AES.schemaVersion,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.Use.OtherType,AES.useOtherType,
AIFF-hul-1.10,AIFFMetadata.AESAudioMetadata.Use.UseType,AES.useType,
AIFF-hul-1.10,AIFFMetadata.Annotations,audio.annotations,
AIFF-hul-1.10,AIFFMetadata.Author,audio.author,
AIFF-hul-1.10,AIFFMetadata.CompressionName,audio.compressionName,
AIFF-hul-1.10,AIFFMetadata.CompressionType,audio.compressionType,
AIFF-hul-1.10,AIFFMetadata.Copyright,audio.copyright,
AIFF-hul-1.10,AIFFMetadata.FormatVersion,audio.formatVersion,
AIFF-hul-1.10,AIFFMetadata.Instrument.Basenote,audio.instrumentBaseNote,
AIFF-hul-1.10,AIFFMetadata.Instrument.Detune,audio.instrumentDetune,
AIFF-hul-1.10,AIFFMetadata.Instrument.Gain,audio.instrumentGain,
AIFF-hul-1.10,AIFFMetadata.Instrument.HighNote,audio.instrumentHighNote,
AIFF-hul-1.10,AIFFMetadata.Instrument.Highvelocity,audio.instrumentHighVelocity,
AIFF-hul-1.10,AIFFMetadata.Instrument.LowNote,audio.instrumentLowNote,
AIFF-hul-1.10,AIFFMetadata.Instrument.Lowvelocity,audio.instrumentLowVelocity,
AIFF-hul-1.10,AIFFMetadata.Instrument.ReleaseLoop.BeginLoop,audio.releaseLoopBegin,
AIFF-hul-1.10,AIFFMetadata.Instrument.ReleaseLoop.EndLoop,audio.releaseLoopEnd,
AIFF-hul-1.10,AIFFMetadata.Instrument.ReleaseLoop.PlayMode,audio.releaseLoopPlayMode,
