creator,createDate,modifiedBy,modificationDate,application,name,type,description
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.analogDigitalFlag,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.bitDepth,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.bitRateReductionDataRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.bitRateReductionDataRateMode,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.byteOrder,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.channelAssignment,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.channels,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.codecCreatorApplication,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.codecCreatorApplicationVersion,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.codecName,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.codecNameVersion,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.codecQuality,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.encoding,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationCountingMode,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationFrameCount,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationFrames,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationFraming,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationFramingType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationHours,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationMinutes,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationNumberOfSamples,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationSampleRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationSeconds,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationTimeBase,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeDurationVideoField,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartCountingMode,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartFrameCount,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartFrames,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartFraming,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartFramingType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartHours,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartMinutes,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartNumberOfSamples,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartSampleRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartSeconds,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartTimeBase,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.faceTimeRangeStartVideoField,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.firstSampleOffset,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.format,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.formatListSoundField,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.formatListWordSize,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.formatVersion,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.identifierType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.primaryIdentifier,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.sampleFrames,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.sampleRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.schemaVersion,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLine.FrameCount,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineCountingMode,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineFrames,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineFraming,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineFramingType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineHours,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineMinutes,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineNumberOfSamples,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineSamplesRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineSeconds,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartCountingMode,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartFrameCount,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartFrames,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartFraming,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartFramingType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartHours,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartMinutes,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartNumberOfSamples,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartSampleRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartSeconds,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartTimeBase,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineStartVideoField,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineTimeBase,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.timeLineVideoField,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.useOtherType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,AES.useType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.album,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.annotations,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.arranger,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.artist,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.artistURL,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.author,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.averageBytesPerSec,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextCodingHistory,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextDescription,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextOriginationDate,DATE,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextOriginationTime,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextOriginator,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextOriginatorReference,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextTimeReference,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextUMID,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bextVersion,TEXT,
Peter McKinney,15/12/2017,Peter McKinney,15/12/2017,,audio.bit_depth,TEXT,
Peter McKinney,15/12/2017,Jan Hutar,26/01/2022,,audio.bit_rate,TEXT,
Peter McKinney,15/12/2017,Peter McKinney,15/12/2017,,audio.bit_rate_mode,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bitDepth,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bitRate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.bitRateUnit,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.BlockAlign,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.blockSize,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.catalogNumber,NUMBER,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.CDnoOfTracks,TEXT,
Peter McKinney,15/12/2017,Peter McKinney,15/12/2017,,audio.channel_s_,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.channels,TEXT,
Peter McKinney,15/12/2017,Peter McKinney,15/12/2017,,audio.codec_ID,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.comment,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.composer,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.compressionCode,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.compressionName,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.compressionType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.conductor,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.contact,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.contentType,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.copyright,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.creatingApplication,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.creationDate,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.cueTrackISRC,TEXT,
Ex Libris,07/17/2013,Ex Libris,07/17/2013,,audio.dataLength,NUMBER,
